date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:57:06	54391/54391	---M-Z	200	added ('OK')	text/html	etag:%22d477-5eeefb22-c3a496f053df784f;gz%22	http://brom.c-kav.com/preview-demos/index-07.html	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/index-07.html	(from )
10:57:07	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11e181-39484255d8f14e54;gz%22	http://brom.c-kav.com/robots.txt		(from )
10:57:07	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2247e-5eeefb23-b6190acc501a35f2;;;%22	http://brom.c-kav.com/preview-demos/images/favicons/favicon.ico	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/images/favicons/favicon.ico	(from http://brom.c-kav.com/preview-demos/index-07.html)
10:57:08	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11e181-39484255d8f14e54;gz%22	http://brom.c-kav.com/preview-demos/images/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/images/favicons/apple-touch-icon.png	(from http://brom.c-kav.com/preview-demos/index-07.html)
10:57:08	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11e181-39484255d8f14e54;gz%22	http://brom.c-kav.com/preview-demos/images/favicons/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/images/favicons/apple-touch-icon-72x72.png	(from http://brom.c-kav.com/preview-demos/index-07.html)
10:57:08	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11e181-39484255d8f14e54;gz%22	http://brom.c-kav.com/preview-demos/images/favicons/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/images/favicons/apple-touch-icon-114x114.png	(from http://brom.c-kav.com/preview-demos/index-07.html)
10:57:09	55111/55111	---M-Z	200	added ('OK')	text/css	etag:%22d747-5eeefb23-3c16107e14a8ec39;gz%22	http://brom.c-kav.com/preview-demos/fonticons/fontawesome/css/all.min.css	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/fonticons/fontawesome/css/all.min.css	(from http://brom.c-kav.com/preview-demos/index-07.html)
10:57:09	7022/7022	---M-Z	200	added ('OK')	text/css	etag:%221b6e-5eeefb23-b846693a4fd761b2;gz%22	http://brom.c-kav.com/preview-demos/fonticons/et-line/et-line-font.css	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/fonticons/et-line/et-line-font.css	(from http://brom.c-kav.com/preview-demos/index-07.html)
10:57:09	129486/129486	---M-Z	200	added ('OK')	text/css	etag:%221f9ce-5eeefb23-7f91d59233c371a1;gz%22	http://brom.c-kav.com/preview-demos/fonticons/material-webfont/css/materialdesignicons.min.css	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/fonticons/material-webfont/css/materialdesignicons.min.css	(from http://brom.c-kav.com/preview-demos/index-07.html)
10:57:10	9697/9697	---M-Z	200	added ('OK')	text/css	etag:%2225e1-5eeefb23-3d832f31438d8605;gz%22	http://brom.c-kav.com/preview-demos/fonticons/pixeden/pe-icon-7-stroke.css	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/fonticons/pixeden/pe-icon-7-stroke.css	(from http://brom.c-kav.com/preview-demos/index-07.html)
